relative_path,labels,confidences,num_labels
000000000544.jpg,"[""ballplayer, baseball_player"", ""baseball"", ""scoreboard"", ""racket, racquet"", ""puck, hockey_puck""]","[0.9938752055168152, 0.004660251550376415, 0.0009708413272164762, 0.00012923951726406813, 0.00010542871314100921]",5
000000000564.jpg,"[""theater_curtain, theatre_curtain"", ""cinema, movie_theater, movie_theatre, movie_house, picture_palace"", ""stage"", ""tennis_ball"", ""basketball""]","[0.3718907833099365, 0.31339797377586365, 0.18044638633728027, 0.02141198329627514, 0.020009294152259827]",5
000000000572.jpg,"[""guillotine"", ""plunger, plumber's_helper"", ""pool_table, billiard_table, snooker_table"", ""crate"", ""cradle""]","[0.07073850929737091, 0.06711047887802124, 0.05229560658335686, 0.05183710157871246, 0.046664759516716]",5
000000000625.jpg,"[""rugby_ball"", ""volleyball"", ""soccer_ball"", ""racket, racquet"", ""parachute, chute""]","[0.4766782224178314, 0.29813095927238464, 0.1413913518190384, 0.0480538047850132, 0.004179492127150297]",5
000000000634.jpg,"[""aircraft_carrier, carrier, flattop, attack_aircraft_carrier"", ""stretcher"", ""submarine, pigboat, sub, U-boat"", ""parachute, chute"", ""scuba_diver""]","[0.805368185043335, 0.01680035889148712, 0.011843209154903889, 0.008962498977780342, 0.008760190568864346]",5
000000000641.jpg,"[""trolleybus, trolley_coach, trackless_trolley"", ""minibus"", ""streetcar, tram, tramcar, trolley, trolley_car"", ""garbage_truck, dustcart"", ""passenger_car, coach, carriage""]","[0.9521005153656006, 0.03517057001590729, 0.004784591030329466, 0.0015140044270083308, 0.0009411656064912677]",5
000000000659.jpg,"[""school_bus"", ""passenger_car, coach, carriage"", ""tractor"", ""cab, hack, taxi, taxicab"", ""ashcan, trash_can, garbage_can, wastebin, ash_bin, ash-bin, ashbin, dustbin, trash_barrel, trash_bin""]","[0.6986602544784546, 0.03361418470740318, 0.017984021455049515, 0.016207462176680565, 0.013184227980673313]",5
000000000673.jpg,"[""sandbar, sand_bar"", ""seashore, coast, seacoast, sea-coast"", ""bib"", ""pick, plectrum, plectron"", ""spatula""]","[0.2263539880514145, 0.12439542263746262, 0.10778069496154785, 0.09908384084701538, 0.0637938529253006]",5
000000000692.jpg,"[""nipple"", ""stethoscope"", ""tub, vat"", ""loupe, jeweler's_loupe"", ""oxygen_mask""]","[0.37336844205856323, 0.21783685684204102, 0.06346333771944046, 0.06050068885087967, 0.0485757552087307]",5
000000000693.jpg,"[""toyshop"", ""clog, geta, patten, sabot"", ""kimono"", ""shoe_shop, shoe-shop, shoe_store"", ""cellular_telephone, cellular_phone, cellphone, cell, mobile_phone""]","[0.4930439293384552, 0.06698353588581085, 0.03712192550301552, 0.036079999059438705, 0.027088144794106483]",5
000000000716.jpg,"[""desktop_computer"", ""screen, CRT_screen"", ""monitor"", ""television, television_system"", ""projector""]","[0.4721982181072235, 0.1321640908718109, 0.12141888588666916, 0.0647311732172966, 0.06362292170524597]",5
000000000722.jpg,"[""parachute, chute"", ""balloon"", ""rugby_ball"", ""mountain_tent"", ""stretcher""]","[0.9967558979988098, 0.0014807641273364425, 0.00030469850753434, 0.00027408264577388763, 0.00023769511608406901]",5
000000000723.jpg,"[""motor_scooter, scooter"", ""moped"", ""crash_helmet"", ""Model_T"", ""tricycle, trike, velocipede""]","[0.16519424319267273, 0.12809966504573822, 0.1279098242521286, 0.07428029179573059, 0.060682930052280426]",5
000000000730.jpg,"[""moving_van"", ""streetcar, tram, tramcar, trolley, trolley_car"", ""trolleybus, trolley_coach, trackless_trolley"", ""minibus"", ""tow_truck, tow_car, wrecker""]","[0.34573718905448914, 0.13736064732074738, 0.04240567237138748, 0.040288958698511124, 0.034085698425769806]",5
000000000731.jpg,"[""umbrella"", ""mountain_tent"", ""cowboy_hat, ten-gallon_hat"", ""sandbar, sand_bar"", ""sombrero""]","[0.8418132662773132, 0.012902442365884781, 0.009353328496217728, 0.00911331083625555, 0.003901786869391799]",5
000000000735.jpg,"[""candle, taper, wax_light"", ""altar"", ""theater_curtain, theatre_curtain"", ""radiator"", ""vestment""]","[0.4330368936061859, 0.24517573416233063, 0.0715976357460022, 0.05944053828716278, 0.047374311834573746]",5
000000000761.jpg,"[""ski"", ""dogsled, dog_sled, dog_sleigh"", ""alp"", ""ski_mask"", ""snowmobile""]","[0.9660593271255493, 0.011153110302984715, 0.004903534892946482, 0.003860036376863718, 0.002690535970032215]",5
000000000764.jpg,"[""maypole"", ""ski"", ""military_uniform"", ""rifle"", ""bow""]","[0.14011353254318237, 0.11343845725059509, 0.06379285454750061, 0.05199897289276123, 0.037610821425914764]",5
000000000781.jpg,"[""parachute, chute"", ""paddle, boat_paddle"", ""lakeside, lakeshore"", ""pelican"", ""kite""]","[0.9884063005447388, 0.003676343010738492, 0.0010405731154605746, 0.000847324263304472, 0.0007942192023620009]",5
000000000790.jpg,"[""hoopskirt, crinoline"", ""groom, bridegroom"", ""water_jug"", ""gown"", ""pitcher, ewer""]","[0.17418721318244934, 0.17048417031764984, 0.10652594268321991, 0.08764347434043884, 0.07334111630916595]",5
000000000795.jpg,"[""bullet_train, bullet"", ""passenger_car, coach, carriage"", ""vault"", ""prison, prison_house"", ""electric_locomotive""]","[0.3446502983570099, 0.15209287405014038, 0.11558439582586288, 0.07353678345680237, 0.06930815428495407]",5
000000000810.jpg,"[""king_crab, Alaska_crab, Alaskan_king_crab, Alaska_king_crab, Paralithodes_camtschatica"", ""conch"", ""Dungeness_crab, Cancer_magister"", ""American_lobster, Northern_lobster, Maine_lobster, Homarus_americanus"", ""cleaver, meat_cleaver, chopper""]","[0.262106329202652, 0.2128819227218628, 0.15374808013439178, 0.1042596846818924, 0.023631110787391663]",5
000000000821.jpg,"[""Model_T"", ""half_track"", ""accordion, piano_accordion, squeeze_box"", ""church, church_building"", ""golfcart, golf_cart""]","[0.46406084299087524, 0.08388607949018478, 0.07879563421010971, 0.05800708010792732, 0.029376253485679626]",5
000000000828.jpg,"[""paddle, boat_paddle"", ""cliff, drop, drop-off"", ""breakwater, groin, groyne, mole, bulwark, seawall, jetty"", ""dam, dike, dyke"", ""canoe""]","[0.46046578884124756, 0.09567436575889587, 0.06763043999671936, 0.043263357132673264, 0.03491855412721634]",5
000000000831.jpg,"[""breakwater, groin, groyne, mole, bulwark, seawall, jetty"", ""jean, blue_jean, denim"", ""unicycle, monocycle"", ""shoe_shop, shoe-shop, shoe_store"", ""forklift""]","[0.0902060717344284, 0.08618748188018799, 0.08214922994375229, 0.054339803755283356, 0.04518291726708412]",5
000000000839.jpg,"[""rugby_ball"", ""soccer_ball"", ""ballplayer, baseball_player"", ""baseball"", ""croquet_ball""]","[0.6031535267829895, 0.07748208194971085, 0.0750788077712059, 0.06885506957769394, 0.057143475860357285]",5
000000000872.jpg,"[""ballplayer, baseball_player"", ""baseball"", ""knee_pad"", ""croquet_ball"", ""lawn_mower, mower""]","[0.7054483294487, 0.2943366765975952, 6.39542267890647e-05, 3.5403154470259324e-05, 2.0276665964047424e-05]",5
000000000882.jpg,"[""Boston_bull, Boston_terrier"", ""great_white_shark, white_shark, man-eater, man-eating_shark, Carcharodon_carcharias"", ""boxer"", ""American_Staffordshire_terrier, Staffordshire_terrier, American_pit_bull_terrier, pit_bull_terrier"", ""Great_Dane""]","[0.2448374480009079, 0.09303999692201614, 0.0903877541422844, 0.07457004487514496, 0.07210805267095566]",5
000000000885.jpg,"[""racket, racquet"", ""tennis_ball"", ""ping-pong_ball"", ""ballplayer, baseball_player"", ""golf_ball""]","[0.923999011516571, 0.0758955180644989, 2.970270361402072e-05, 2.212791150668636e-05, 1.495658125350019e-05]",5
000000000901.jpg,"[""cab, hack, taxi, taxicab"", ""slot, one-armed_bandit"", ""traffic_light, traffic_signal, stoplight"", ""motor_scooter, scooter"", ""street_sign""]","[0.43912893533706665, 0.18093247711658478, 0.10260043293237686, 0.028888093307614326, 0.010374023579061031]",5
000000000913.jpg,"[""aircraft_carrier, carrier, flattop, attack_aircraft_carrier"", ""warplane, military_plane"", ""wing"", ""space_shuttle"", ""projectile, missile""]","[0.5529711842536926, 0.39424020051956177, 0.028136154636740685, 0.010373362340033054, 0.004068156238645315]",5
000000000923.jpg,"[""passenger_car, coach, carriage"", ""streetcar, tram, tramcar, trolley, trolley_car"", ""electric_locomotive"", ""freight_car"", ""minibus""]","[0.41047823429107666, 0.33652955293655396, 0.24086993932724, 0.009733987972140312, 0.0009695164626464248]",5
000000000925.jpg,"[""suit, suit_of_clothes"", ""Windsor_tie"", ""Loafer"", ""groom, bridegroom"", ""bow_tie, bow-tie, bowtie""]","[0.9278684258460999, 0.05375652387738228, 0.007353453431278467, 0.007017055526375771, 0.0036356542259454727]",5
000000000927.jpg,"[""swing"", ""unicycle, monocycle"", ""knee_pad"", ""parking_meter"", ""umbrella""]","[0.12049132585525513, 0.10868093371391296, 0.06223665550351143, 0.02837415039539337, 0.028061477467417717]",5
000000000934.jpg,"[""African_elephant, Loxodonta_africana"", ""Indian_elephant, Elephas_maximus"", ""tusker"", ""warthog"", ""wild_boar, boar, Sus_scrofa""]","[0.508336067199707, 0.32516753673553467, 0.16314752399921417, 0.0008936711237765849, 0.000600554863922298]",5
000000000943.jpg,"[""water_bottle"", ""sandbar, sand_bar"", ""sandal"", ""bucket, pail"", ""water_jug""]","[0.20004795491695404, 0.10065548866987228, 0.09241306036710739, 0.06616665422916412, 0.03987421095371246]",5
000000000960.jpg,"[""groom, bridegroom"", ""oxygen_mask"", ""limousine, limo"", ""gown"", ""hair_spray""]","[0.4888158440589905, 0.08381420373916626, 0.059055522084236145, 0.0573449544608593, 0.037944599986076355]",5
000000000962.jpg,"[""racket, racquet"", ""baseball"", ""tennis_ball"", ""ballplayer, baseball_player"", ""knee_pad""]","[0.9563550353050232, 0.01717717945575714, 0.01545898336917162, 0.006240634713321924, 0.0006491279345937073]",5
000000000969.jpg,"[""lawn_mower, mower"", ""soccer_ball"", ""unicycle, monocycle"", ""croquet_ball"", ""maypole""]","[0.43747425079345703, 0.1765274852514267, 0.057187680155038834, 0.056186601519584656, 0.040035564452409744]",5
000000000974.jpg,"[""Indian_elephant, Elephas_maximus"", ""tusker"", ""African_elephant, Loxodonta_africana"", ""wild_boar, boar, Sus_scrofa"", ""warthog""]","[0.6185391545295715, 0.371387779712677, 0.006899973377585411, 0.000958317774347961, 0.0007810097886249423]",5
000000000984.jpg,"[""banana"", ""jackfruit, jak, jack"", ""grocery_store, grocery, food_market, market"", ""plastic_bag"", ""pineapple, ananas""]","[0.8388364911079407, 0.07384686917066574, 0.01620139367878437, 0.010652528144419193, 0.006829819176346064]",5
000000000985.jpg,"[""trolleybus, trolley_coach, trackless_trolley"", ""amphibian, amphibious_vehicle"", ""school_bus"", ""passenger_car, coach, carriage"", ""fire_engine, fire_truck""]","[0.2819911241531372, 0.2314681112766266, 0.23083829879760742, 0.15888479351997375, 0.04798411205410957]",5
000000000999.jpg,"[""ballplayer, baseball_player"", ""baseball"", ""knee_pad"", ""football_helmet"", ""soccer_ball""]","[0.9946337938308716, 0.004882495850324631, 0.00015584459470119327, 0.00013112185115460306, 4.8320183850592e-05]",5
000000001000.jpg,"[""drum, membranophone, tympan"", ""accordion, piano_accordion, squeeze_box"", ""volleyball"", ""racket, racquet"", ""steel_drum""]","[0.16521161794662476, 0.1353977620601654, 0.08684293925762177, 0.07046753168106079, 0.04858041927218437]",5
000000001006.jpg,"[""trench_coat"", ""fur_coat"", ""stole"", ""miniskirt, mini"", ""clog, geta, patten, sabot""]","[0.13577063381671906, 0.10055515170097351, 0.06452368199825287, 0.05454036220908165, 0.046417657285928726]",5
000000001011.jpg,"[""unicycle, monocycle"", ""tricycle, trike, velocipede"", ""motor_scooter, scooter"", ""parking_meter"", ""knee_pad""]","[0.2505730390548706, 0.12152888625860214, 0.06455123424530029, 0.05958133563399315, 0.052540123462677]",5
000000001014.jpg,"[""sarong"", ""drum, membranophone, tympan"", ""shield, buckler"", ""steel_drum"", ""barrow, garden_cart, lawn_cart, wheelbarrow""]","[0.19742922484874725, 0.150594100356102, 0.04166983813047409, 0.039659369736909866, 0.028579862788319588]",5
000000001053.jpg,"[""unicycle, monocycle"", ""traffic_light, traffic_signal, stoplight"", ""bicycle-built-for-two, tandem_bicycle, tandem"", ""limousine, limo"", ""fountain""]","[0.632088840007782, 0.06626922637224197, 0.0524883046746254, 0.0319090373814106, 0.012798133306205273]",5
000000001089.jpg,"[""suit, suit_of_clothes"", ""bow_tie, bow-tie, bowtie"", ""microphone, mike"", ""Windsor_tie"", ""stage""]","[0.63652104139328, 0.1112976148724556, 0.09678108245134354, 0.02046913281083107, 0.018804214894771576]",5
000000001098.jpg,"[""Walker_hound, Walker_foxhound"", ""Boston_bull, Boston_terrier"", ""toy_terrier"", ""basenji"", ""Cardigan, Cardigan_Welsh_corgi""]","[0.14134065806865692, 0.12868182361125946, 0.06263475120067596, 0.04285832494497299, 0.038182251155376434]",5
000000001102.jpg,"[""snowplow, snowplough"", ""snowmobile"", ""ski"", ""dogsled, dog_sled, dog_sleigh"", ""tractor""]","[0.5499807000160217, 0.10177832096815109, 0.033931832760572433, 0.02996683306992054, 0.016866208985447884]",5
000000001107.jpg,"[""warplane, military_plane"", ""wing"", ""aircraft_carrier, carrier, flattop, attack_aircraft_carrier"", ""unicycle, monocycle"", ""jinrikisha, ricksha, rickshaw""]","[0.4914371371269226, 0.13533738255500793, 0.0704226866364479, 0.06366608291864395, 0.03160274401307106]",5
000000001108.jpg,"[""pole"", ""totem_pole"", ""balance_beam, beam"", ""bannister, banister, balustrade, balusters, handrail"", ""ski""]","[0.27138760685920715, 0.13199308514595032, 0.0454978346824646, 0.04128918796777725, 0.03949417546391487]",5
000000001144.jpg,"[""restaurant, eating_house, eating_place, eatery"", ""beer_glass"", ""red_wine"", ""goblet"", ""wine_bottle""]","[0.4639899432659149, 0.2869224548339844, 0.05835529789328575, 0.03696434199810028, 0.017624622210860252]",5
000000001145.jpg,"[""Crock_Pot"", ""waffle_iron"", ""restaurant, eating_house, eating_place, eatery"", ""dishwasher, dish_washer, dishwashing_machine"", ""wok""]","[0.3172434866428375, 0.09276236593723297, 0.07204985618591309, 0.04689272493124008, 0.043361566960811615]",5
000000001146.jpg,"[""suit, suit_of_clothes"", ""Windsor_tie"", ""bolo_tie, bolo, bola_tie, bola"", ""groom, bridegroom"", ""bow_tie, bow-tie, bowtie""]","[0.884344220161438, 0.056426241993904114, 0.037432294338941574, 0.00765317864716053, 0.002017214195802808]",5
000000001149.jpg,"[""projectile, missile"", ""military_uniform"", ""missile"", ""cannon"", ""rifle""]","[0.6276497840881348, 0.17603419721126556, 0.10302549600601196, 0.05958440154790878, 0.006339137442409992]",5
000000001164.jpg,"[""Indian_elephant, Elephas_maximus"", ""tusker"", ""water_buffalo, water_ox, Asiatic_buffalo, Bubalus_bubalis"", ""African_elephant, Loxodonta_africana"", ""hippopotamus, hippo, river_horse, Hippopotamus_amphibius""]","[0.6352782845497131, 0.33846336603164673, 0.01333700492978096, 0.007750681135803461, 0.0022593270987272263]",5
000000001176.jpg,"[""sunglass"", ""loupe, jeweler's_loupe"", ""sunglasses, dark_glasses, shades"", ""car_mirror"", ""binoculars, field_glasses, opera_glasses""]","[0.4534927308559418, 0.40211576223373413, 0.08483585715293884, 0.05207624286413193, 0.005475066602230072]",5
000000001180.jpg,"[""bonnet, poke_bonnet"", ""groom, bridegroom"", ""shower_cap"", ""hoopskirt, crinoline"", ""vestment""]","[0.7545596361160278, 0.08772478252649307, 0.03893814608454704, 0.01964082010090351, 0.012408290058374405]",5
000000001183.jpg,"[""croquet_ball"", ""golf_ball"", ""plunger, plumber's_helper"", ""basketball"", ""lawn_mower, mower""]","[0.8212172985076904, 0.02354237623512745, 0.02114841900765896, 0.015902534127235413, 0.014206206426024437]",5
000000001200.jpg,"[""parachute, chute"", ""seashore, coast, seacoast, sea-coast"", ""sandbar, sand_bar"", ""breakwater, groin, groyne, mole, bulwark, seawall, jetty"", ""umbrella""]","[0.9567728042602539, 0.029233386740088463, 0.00977182574570179, 0.0016527128173038363, 0.0006677035125903785]",5
